Bearing,截断特征长度(行),预测剩余寿命比例(p),预测健康状态(0-2),实际RUL(秒),预测RUL(秒),误差Error(%)
Bearing1_3,1802,0.1876,2,5730,4161.2,-27.38%
Bearing1_4,1139,0.0648,2,339,789.7,132.94%
Bearing1_5,2302,0.1646,2,1610,4535.9,181.73%
Bearing1_6,2302,0.0793,2,1460,1982.5,35.79%
Bearing1_7,1502,0.1004,2,7570,1675.6,-77.87%
Bearing2_3,1202,0.287,1,7530,4837.6,-35.76%
Bearing2_4,612,0.6554,0,1390,11638.4,737.30%
Bearing2_5,2002,0.66,0,3090,38860.7,1157.63%
Bearing2_6,572,0.8368,0,1290,29336.4,2174.14%
Bearing2_7,172,0.8598,0,580,10551.2,1719.17%
Bearing3_3,352,0.1468,2,820,605.7,-26.13%
